,title,company,location,salary,requirements
322,"Manager, Data Analytics and Business Intelligence",Google,"Sunnyvale, CA (Lakewood area)+1 location",,"You will work with stakeholders to build and execute data ingestion, leadership dashboards, data modeling and data warehouse infrastructure projects, creating a…"
323,newDC Technician I,Microsoft,"Quincy, WA 98848+3 locations",,"Follows procedures to communicate, report, and escalate incidents to appropriate Microsoft data center operations management and Technician Leads."
324,Data Scientist,Source Enterprises,"Remote in New York, NY",,Stay current on modern trends and advances in data mining technology.Extending company’s data with third party sources of information when needed.
325,Data Analyst,Boulevard,Remote,,Understand and document the current data landscape.Develop and deliver your first data insights.Evolve our data analytics strategy alongside business…
326,newData Scientist I - DBHi,Children's Hospital of Philadelphia,"Philadelphia, PA 19146 (Graduate Hospital area)+5 locations",,Customizing data annotation tools to assist researchers in annotating data/text and training models.Working with sensitive data in a secure environment.
327,Data Collection Specialist,Cognizant Technology Solutions,"Mountain View, CA 94035",,"Experience with data analysis, uncovering insights in data & data visualization.In this role, you will manage the end-to-end success of this program from data…"
328,Disney: Data Analyst,silicon tech solutions,"Los Angeles, CA",,Experience extracting data from RDBMS system.Experience with Microsoft Excel and experience performing data cleansing activities in an excel.
329,newData Analytics Scientist,Honda Dev. and Mfg. of Am LLC,"Marysville, OH",,"Collaborates with a team of digital problem-solvers to deliver consistent, data-driven business outcome.In this role, you will be responsible for identifying…"
330,newSupply Chain Innovation- Data Governance Analyst,Nike,"Beaverton, OR+1 location",,"Champion the application, usage and adoption of data governance capabilities within supply chain including data catalog, business glossary, data discovery, data…"
331,Data Scientist,kraken,Remote+2 locations,,5+ years industry experience in data science or analytics.Work with engineers to evangelize data best practices and implement analytics solutions.
332,newProject Titan Data Specialist,Dallas Theological Seminary,"Dallas, TX 75204 (Old East Dallas area)",$20 an hour,"The position is responsible for entering data to support the new computer system, ensuring efficiency and accuracy.High school diploma or equivalent."
333,Data Annotation and Strategy,Opendoor,United States,"$132,000 - $211,000 a year",The Data Annotation team is responsible for annotating data to support live operations and test novel features.Excellent verbal and written communication.
334,Data Scientist - remote,GoDaddy,Remote in United States,,"Experience with Deep Learning and large data sets.Familiarity with large-scale data analytics in Spark, Hadoop, Pig or Hive."
335,newData Analyst / Data Science ML Trainee,Arkansas Center for Data Sciences,"Rogers, AR",,Translate business problems to data related or mathematical solutions.Generate appropriate graphical representations of data and model outcomes under guidance.
336,Data Specialist,ENDEAVORS,"Pecos, TX 79772",,"Monitoring data quality and removing corrupt data;Using data systems, reduce where possible inefficiencies and duplicate data entry between federal UAC Portal…"
337,neweComm Data & Analytics Head,PepsiCo,"Purchase, NY 10577",,"Lead efforts to establish a data-driven culture to empower business units around data, reporting and analytics.ECommerce Head of Data & Analytics."
338,newData Analyst - Strategic Partnerships,Platform.sh,Remote,,"Creative energy for data visualization.An enthusiastic understanding of data process analysis and implementation, with experience doing needs assessments."
339,newData Entry Temp (6 month contract),InterVenn,"South San Francisco, CA 94080",,"Proficient typing and data entry skills.Our technology enables and empowers the understanding of Glycoproteomics, a new clinical layer of biology beyond the…"
340,newData Entry Coordinator,SEPTA,"Philadelphia, PA",$20.43 an hour,Extracts data from database in order to produce pc data reports.Maintains material management database integrity through data input with quality of residing…
341,"Customer Engineer, Data Analytics, Media and Entertainment",Google,"Los Angeles, CA (Venice area)+9 locations",,"Experience with developing data warehousing, data lakes, batch or real-time event processing and ETL workflows solutions."
342,newData Analyst,Bronco Billy's Casino and Hotel,"Cripple Creek, CO 80813","From $45,000 a year",Enters data into appropriate databases/applications.Identifies and facilitates the correction of “bad data” in any of the property’s databases.
343,Revenue Analyst,AvantStay,Remote,"$60,000 - $80,000 a year",Build compsets and optimize utilization of third party data providers in a scalable manner.Work cross-functionally to enhance utilization of internal data in…
344,Data Analyst & Reports Developer,"Odyssey Group Holdings, Inc.",Remote+1 location,,Test and validate underlying report data.Write SQL or other querying code to extract and manipulate data from database systems.
345,Remote Data Entry Clerk (2021-2022),Texans Can! Academies,"Remote in Dallas, TX+1 location",,"Collaborate with administrators establishing data entry priorities into the different systems.Learn, follow and understand the different student’s data…"
346,Data Entry – Office Assistant,Leaders Choice Insurance Services,"Sacramento, CA (Alkali Flat area)",,The right person must have good computer and internet skills.The position consists of loading clients info into web based insurance rating web sites.
347,newData Analyst (remote),Fitbod,"Remote in San Francisco, CA",,You will help catch and document data errors.Building and maintaining dashboards that effectively communicate data insights.You will ask your own questions.
348,Natural Resources Specialist I,City of Tacoma,"Tacoma, WA 98402 (New Tacoma area)+1 location","$73,819 - $94,598 a year",Competency in electronic field data collection methods.This position facilitates the interaction between these agencies by navigating their distinct goals…
349,Finance Operations Associate,AvantStay,+2 locationsRemote,"$100,000 - $125,000 a year",Take ownership of our owner statements process where we generate monthly financial statements for hundreds of our owners; this entails bringing data in from…
350,"Software Engineer, Autopilot Data",Tesla,"Palo Alto, CA+2 locations",,"You will use existing data and distinguish signal from noise, as well as design new metrics and collection methods when existing data is insufficient."
351,newData Scientist,OTC Direct Inc,"Remote in Omaha, NE",,Understanding of data measurement and data structures preferred.Retrieves data using SQL within the Netezza framework and quality-checks the data prior to…
352,Data Scientist - remote,GoDaddy,Remote in United States,,"Experience with Deep Learning and large data sets.Familiarity with large-scale data analytics in Spark, Hadoop, Pig or Hive."
353,newData/Reporting Analyst,HealthStream,"Remote in Nashville, TN+3 locations",,Drives behavior for multiple types of resources to maintain data integrity of the entire lifecycle of contract data.
354,newData Science Specialist [HYBRID],Southern California Edison,"Rosemead, CA 91771+3 locations",,"Three or more years of experience in data mining, predictive modeling, machine learning, large scale data acquisition, and transformation of data, both…"
355,newData Analyst III - Remote Available,Centene Corporation,"Remote in Clayton, MO+47 locations",,"Model data using MS Excel, Access, SQL, and/or other data ware house analytical tools.Provide advanced analytical support for business operations in all or…"
356,Data Analysts,Cotocus,"Sacramento, CA 95822 (Airport area)",,"If you want operate at start up speed, solve some of the hardest problems and build a service which customers love, Amazon.in might just be the place for you."
357,Data Analyst (Virtual),Home Depot / THD,"Atlanta, GA 30301+7 locations",,Strong quantitative skills such as statistics and data analysis.Provide data to all Directors to support decision making.This position has no Direct Reports.
358,"Financial Analyst, Residuals",Netflix,"Los Angeles, CA",,"Work with third party payment processor(s) to provide relevant setup data, and ensure complete and accurate setup for residual payments."
359,Data Scientist I,Amazon.com Services LLC,Remote+126 locations,"$92,700 - $160,000 a year","Proficiency in using SQL as applied to big data: extraction, processing, filtering, and presenting large data quantities (100K to Millions of rows) via AWS…"
360,newSr. Data Analyst,Fannie Mae,"Reston, VA+4 locations",,Experience in the process of analyzing data to identify trends or relationships to inform conclusions about the data.
361,Data Entry Specialist,Pearson,"Austin, TX 78753 (Windsor Hills area)",$15.50 an hour,"Image Edit Clerks focus on data entry, and compare source documents against scanned data.The Image Edit position requires attention to detail and strong PC…"
362,"Developer Programs Engineer, Data Analytics",Google,"Raleigh, NC (Hillsborough area)+7 locations",,We ensure that Google Cloud services like BigQuery and other data analytics products such as Pub/Sub and Dataproc are amazing for developers.
363,Data Entry Clerk,Perry Johnson & Associates,"Henderson, NV 89012 (Macdonald Ranch area)",,1 year data entry experience.Perform random audits of data.Strict adherence to data entry requirements by following all program procedures.
364,newData Science Specialist [HYBRID],Southern California Edison,"Rosemead, CA 91771+3 locations",,"Three or more years of experience in data mining, predictive modeling, machine learning, large scale data acquisition, and transformation of data, both…"
365,newTargeting/HUMINT Analyst,General Dynamics Information Technology,"Tampa, FL",,"Gather, analyze, and evaluate data on individuals, operations, and organizations in support of force protection and identity data management efforts."
366,Data Entry – Office Assistant,Leaders Choice Insurance Services,"Sacramento, CA (Alkali Flat area)",,The right person must have good computer and internet skills.The position consists of loading clients info into web based insurance rating web sites.
367,newData Analyst,Bronco Billy's | BBC,"Cripple Creek, CO 80813","From $45,000 a year",Enters data into appropriate databases/applications.Identifies and facilitates the correction of “bad data” in any of the property’s databases.
368,Equity and Inclusion Data Policy Analyst,Oregon Health Authority,"Hybrid remote in Portland, OR","$6,285 - $9,254 a month","Prefer knowledge of OHA data systems.You will analyze and evaluate data, data systems, projects, benefits, etc. to ensure organizational improvement and…"
369,Data Analytics Lab,The Africa Center for Strategic Progress,"Washington, DC 20005 (Logan Circle area)",,"This role will aid in the creation of digitized data that can be used to support the mission of ACSTRAP.S/he is skilled at detail, communication, data analysis…"
370,newData Clerk,S & F Investments Inc,"Orangeburg, SC 29115",,"Review and remove unneeded data as well as combine data from multiple sources.Inspect reports and sheets of data.Full time, M-F schedule days."
371,newContract Data Analyst,Benefitfocus,"Reno, NV+6 locations",,"Perform triage, root cause analysis and corrections to data issues found during validations, reported by customers and by internal teams."
372,newData Quality Representative,"Avetta, LLC","Remote in Orem, UT",,Perform quality checks on submitted data and documents.Provide weekly reporting of data quality trends and efforts.
373,Data Scientist,The Hershey Company,"Remote in Hershey, PA",,"2+ years of data engineering experience with large-scale data storage processing architectures (Hadoop, SQL, HIVE, Spark/SparkR, etc.)."
374,newSenior Data Engineer,Microsoft,"Redmond, WA 98052 (Overlake area)+10 locations",,"Developing set processes for data mining, data modeling, and data production.Run data quality and data monitoring improvement programs."
375,Full time MBA Opportunities,Apple,"Cupertino, CA",,Reporting & Analytics: Harnesses the vast amount of data relating to AppleCare’s business to make strategic recommendations and share insights about ongoing…
376,Data Developer,Facebook App,+9 locationsRemote,,"Professional experience with reporting systems, data pipeline architecture and data modeling.Build/maintain data infrastructure (data pipelines, aggregated…"
377,Data Entry – Office Assistant,Leaders Choice Insurance Services,"Sacramento, CA (Alkali Flat area)",,The right person must have good computer and internet skills.The position consists of loading clients info into web based insurance rating web sites.
378,newContract Data Analyst,Benefitfocus,"Reno, NV+6 locations",,"Perform triage, root cause analysis and corrections to data issues found during validations, reported by customers and by internal teams."
379,newData Entry Clerical Worker,"A. Duie Pyle, Inc","Tonawanda, NY 14150",,Good computer skills and data entry skills.A. Duie Pyle currently has an opening for a Full Time Data Entry Clerk!Weekly pay through Direct Deposit.
380,Equity and Inclusion Data Policy Analyst,Oregon Health Authority,"Hybrid remote in Portland, OR","$6,285 - $9,254 a month","Prefer knowledge of OHA data systems.You will analyze and evaluate data, data systems, projects, benefits, etc. to ensure organizational improvement and…"
381,newOMMA Data Scientist,State Department of Health,"Oklahoma City, OK","Up to $65,000 a year",Ensure that data problems become data solutions.Create data dictionaries and mappings for all data collected.Full or Part Time Full-Time.
382,newDesktop Support Technician,NASA Federal Credit Union,"Upper Marlboro, MD 20774","$55,000 - $75,500 a year","Implements and monitors systems policies and controls to ensure data integrity, security, and legal and regulatory compliance.Choice of two health plans."
383,newBusiness Intelligence Data Analyst (Remote Options),Intuitive,"Remote in Sunnyvale, CA+1 location",$30 - $35 an hour,"Experience working with data, querying, and analyzing data.Programming skills and experience, especially for data exploration and presentation to management…"
384,Trauma Data Associate,California Hospital Medical Center,"Los Angeles, CA 90015 (Downtown area)+1 location",,Understands and combines data from a variety of disparate data sources to create meaningful analyses for system leaders.
385,Junior Investment Data Analyst,Vanguard,"Malvern, PA+1 location",,Researches and analyzes data exceptions with internal/external data suppliers and partners.Maintains system and business controls to ensure data integrity and…
386,Data Entry Specialist,"Red Coats, Inc.","Bethesda, MD 20814 (Bethesda Center area)",,Previous data entry work experience.Experience with MS Office and data programs.Enter customer and account data from source documents.
387,Data Entry Clerk,Rural King Supply,"Mattoon, IL 61938",,Entering data into Oracle system to process customs entries.The purpose of this position is to support data entry regarding freight and customs entries.
388,newData Engineer,Mosaic,Remote,,"In this role, you’ll support data analysis, data modeling and the delivery of organized insights and ideas to a variety of company stakeholders."
389,Data Entry Clerk - Full-Time,St. Joseph's Health,"Paterson, NJ 07503 (South Paterson area)",,"Responsible for assisting with all administrative tasks, special projects and data entry into designated system on a timely basis."
390,newData Analyst II,Trinidad Benham,"Remote in Denver, CO","$80,000 - $110,000 a year",Provides data analysis and research support on strategic projects.Experience with data analysis related to manufacturing or logistics strongly preferred.
391,newOMMA Data Scientist,State Department of Health,"Oklahoma City, OK","Up to $65,000 a year",Ensure that data problems become data solutions.Create data dictionaries and mappings for all data collected.Full or Part Time Full-Time.
392,Data Developer,Facebook App,+9 locationsRemote,,"Professional experience with reporting systems, data pipeline architecture and data modeling.Build/maintain data infrastructure (data pipelines, aggregated…"
393,newClaims Processor (work from home/remote),Highmark Inc.,Remote in Pennsylvania,,"In connection with this, all employees must comply with both the Health Insurance Portability Accountability Act of 1996 (HIPAA) as described in the Notice of…"
394,Data Analyst (Virtual),Home Depot / THD,"Atlanta, GA 30301+7 locations",,Strong quantitative skills such as statistics and data analysis.Provide data to all Directors to support decision making.This position has no Direct Reports.
395,newPublic Records Coordinator,City of Tampa,"Tampa, FL","$50,419 - $75,483 a year",Attends City Council meetings and records meetings and other official functions; converts action agendas into draft minutes and ensures that appropriate data is…
396,Data Scientist,ASSURANCE,"Seattle, WA 98155+1 location",,"Experience and working knowledge of data infrastructure, pipelines, and advanced data manipulation.The right candidate will have a passion for discovering…"
397,newData Analyst III - Full Time,Children's Wisconsin,"Milwaukee, WI",,"Knowledge of statistical analysis and other data analysis concepts, including but not limited to confidence limits, statistical testing, data modeling and…"
398,Data Analyst,Craneware,+1 locationRemote,,"Ability to understand client business questions, and answer them with data, and create data-based solutions.Working experience as a data analyst, business data…"
399,Data Analysts,Cotocus,"Sacramento, CA 95822 (Airport area)",,"If you want operate at start up speed, solve some of the hardest problems and build a service which customers love, Amazon.in might just be the place for you."
400,newSummer Quantitative Associate Program 2022,The Rock Creek Group,"Washington, DC 20036 (Downtown area)+1 location",,"Well versed in the latest techniques of analyzing data.Interface with analytic, risk and data teams to drive process improvements."
401,newData Analyst,Purdue University,"Hybrid remote in West Lafayette, IN",,"Two years of work experience in reporting, assessment, data extraction, and data analysis.Must maintain confidentiality with sensitive data."
402,Security Associate,Facebook App,+11 locationsRemote,,Experience with assisting in collecting and analyzing data.Assist in documenting and maintaining standard operational procedures for provisioning access to…
403,"newData Scientist, Ads",Wish,"San Francisco, CA 94103 (Mission area)+1 location",,Analyze web scale data to discover patterns and provide actionable insights.Support all iterations of data driven product feature development from algorithm…
404,newStart Up Associate,FocusKPI Inc.,"Remote in San Francisco, CA",,Codify pitch deck data to support new fundraising research.Strong analytical aptitude and ability to work and drive decisions with data.
405,Data Scientist,Salesforce,"Boston, MA 02116 (Back Bay area)+11 locations","$82,400 a year","Own the delivery by working with data engineers and business intelligence engineers to turn insights into data products (e.g. data pipelines, algorithms, self…"
406,newEntry Level Customer Service and Data Entry,A2Z Field Services,"Plain City, OH 43064",$14 - $16 an hour,"A2Z Field Services is looking for entry-level, self-motivated, and customer-focused candidates to join our team.Competitive base pay of $14-$16 per hour."
407,Monitoring and Evaluation Data Analyst,University of Arizona Global Campus,Remote,,"Creating compelling data analysis presentations for university leaders.Providing support and guidance on best practices for data collection, tracking…"
408,Data Analysts,Prolific Sciences,"Apex, NC 27523",,"Prolific Sciences LLC has positions available for Data Analysts in Apex, NC and other unanticipated locations nationwide.Travel/relocation may be required."
409,Data Entry Clerk,Sciolex Corporation,"Newark, NJ 07102 (Central Business District area)+2 locations",,"Entering data directly into various USCIS automated systems,.Performing data inquiries and searches on government agency systems,.Ability to type 30 WPM."
410,Data Visualization Specialist,Crunch.io,"Remote in San Francisco Bay Area, CA",,"Deep domain expertise of data science, statistical analysis, and data visualization.In this role, you will lead data-driven decisionmaking with the team about…"
411,newAccountant,NewYork-Presbyterian Hospital,"Manhattan, NY 10065 (Upper East Side area)",,"Open the door to opportunities to work on special data-oriented projects, and lay the foundation for future advancement throughout our organization."
412,Data Entry/File Clerk (Part Time),Houlihan Lokey,"Hybrid remote in Los Angeles, CA",,"Responsibilities include heavy scanning and filing of highly confidential documents, opening mail, excel and data entry use."
413,Data Intelligence Analyst - Up to $130k,Exodus Integrity Services,"Cleveland, OH","Up to $130,000 a year","Work schedule: Hybrid schedule, currently 2x/wk in office, however there is more flexibility in this group than the rest of the firm - will consider 100% remote…"
414,"newCo-op, Cyber Security Data Analyst",Moderna,"Cambridge, MA 02139 (The Port area)+2 locations",,"Perform data analytics to determine data usage and develop data usage models and patterns.He/she will collaborate with Digital IT, data scientists, and…"
415,"Inventory Control Clerk- Miramar, FL",CTDI,"Miramar, FL+1 location",Up to $18.21 an hour,Good organizational and data entry skills.Ability to operate a PC and input data.CTDI is a large-scale logistics repair and engineering company that services…
416,newData Analyst II,Computershare,Remote in United States,"$40,000 - $50,000 a year",This is a great opportunity for an experienced individual to join a data analytics team focused on the accurate and efficient transfer of mortgage loan data.
417,newData Analyst,Moove-it,Remote,,"Experience with data project management.Experience with big data tools: Spark.Design, implement, and optimize data processes."
418,newData Scientist,National Security Agency,"Fort Meade, MD+1 location","$86,389 - $116,788 a year",Exploratory data analysis and exploratory model-fitting to reveal data features of interest.Analyzing data using mathematical and statistical methods.
419,newSenior Data Scientist,Piper Companies,Remote,"Up to $170,000 a year","Strong experience with data pipelines, data tools, and data organization for analytics.At least 5 years of experience in data structures, data modeling and…"
420,newData Scientist,UKG (Ultimate Kronos Group),"Lowell, MA+1 location",,Analyze customer data to strengthen use of our product.Minimum 1 year experience SQL and data wrangling skills.Knowledge of statistics and analytical methods.
421,newData Clerk,S & F Investments Inc,"Orangeburg, SC 29115",,"Review and remove unneeded data as well as combine data from multiple sources.Inspect reports and sheets of data.Full time, M-F schedule days."
422,newSenior/Data Processor,UTEC Survey Group,Texas,,Review survey logs compiled by data acquisition crews and process acquired data sets using the Company's selected processing software.
423,newData Analyst,Pioneer Natural Resources Company,"Irving, TX",,"This position will support the Permian Drilling group by preparing technical data for interpretation, conducting analysis of data, creating visualizations and…"
424,Sr Geospatial Data Scientist,Allstate,"Remote in Northbrook, IL+4 locations","$97,000 - $144,000 a year",Working with large geospatial data sets using distributed computing frameworks.Ability to provide written and oral interpretation of highly specialized terms…
425,(Contract) Part Time Data Entry Clerk,TechnipFMC,"Davis, CA 95618 (Downtown Core area)+1 location",,"Process backup reports after data entry.The duties include data entry of AP invoices, matching AP invoices with PO documents and other duties in support of the…"
426,"Data Scientist, Analytics",Discord,"Hybrid remote in San Francisco, CA+3 locations",,"You will Partner with teams throughout Discord through the full lifecycle of data analytics from ideation and exploratory analysis, to building dashboards and…"
427,Data Analyst,Northwell Health,"New York, NY+2 locations",,"Identifies issues in data quality that would impact reporting (i.e. duplicate records, missing data, etc.).Serves as a liaison between departments analytical…"
428,newData Scientist,CVS Health,"Wellesley, MA+22 locations",,Explores existing data and recommends additional sources of data for improvements.Ability to work with large data sets from multiple data sources.
429,newCOVID-19 Surveys Data Analyst,Fund For Public Health In New York Inc,United States+4 locations,,Maintain confidentiality of study data.Familiarity with DOHMH data preferred.Experience conducting analyses of complex survey and administrative data.
430,Associate Data Scientist,Poly,Remote in Colorado,,"Prototype data science solutions and validate their results using both statistical techniques and business acumen.Remote Worker, CO, United States."
431,Sr. Data Analyst,Microsoft,"Redmond, WA 98052 (Overlake area)+3 locations",,Advanced working knowledge of large data manipulation and data mining using SQL.Craft external facing data-driven statements that capture the growth and impact…
432,"Senior Data Entry Operator (Remote, US)",Change Healthcare,Remote in California+92 locations,,Verifies data and performs clerical tasks in the data processing function.1+ years of data processing experience.
433,"VP, Data Science & Advanced Analytics",Universal Music Group,"Charlotte, NC+1 location",,"Work with other functional teams to access data elements, understand the data being analyzed, and identify process improvement opportunities."
434,Data Scientist,Central Intelligence Agency,"Washington, DC 20505 (Foggy Bottom area)","$72,272 - $176,300 a year",Experience working with data rich problems through research or programs.Ability to successfully complete projects with large or incomplete data and provide…
435,newMental Health Data Analyst,Skyland Trail,"Atlanta, GA 30341+1 location",,Establish data entry priorities by understanding data reporting deadlines.Experience with data entry into spreadsheets.8 paid organization-wide holidays.
436,newStart Up Associate,FocusKPI Inc.,"Remote in San Francisco, CA",,Codify pitch deck data to support new fundraising research.Strong analytical aptitude and ability to work and drive decisions with data.
437,Data Analyst,Voodoo,"Remote in Berlin, OR+1 location",,"Strong SQL with experience in querying large, complex data sets.Provide actionable recommendations and conclusions from game data to shape features, game…"
438,Data Entry Clerk,Rural King Supply,"Mattoon, IL 61938",,Entering data into Oracle system to process customs entries.The purpose of this position is to support data entry regarding freight and customs entries.
439,Clinical Quality Data Science/Analytics Specialist (FT) John...,Ballad Health,"Johnson City, TN",,Job Details Apply Save Print this job Email a…
440,Data Entry Clerk - Full-Time,St. Joseph's Health,"Paterson, NJ 07503 (South Paterson area)",,"Responsible for assisting with all administrative tasks, special projects and data entry into designated system on a timely basis."
441,newTemporary Data Analyst,Drexel University,"Remote in Philadelphia, PA+3 locations",,"Assist in the management of all R-related data infrastructures across multiple data sources, including Qualtrics, project data repositories, github, SPSS, ORA."
442,2022 MLB Tracking Operator (Seasonal),MLB Data Operations,"Miami, FL+4 locations",,Work closely with MLB data operations personnel to troubleshoot system issues and ensure accuracy of data.Tracking Operators work with data generated by MLB's…
443,newData Engineer,Sinclair Broadcast Group,"Hunt Valley, MD 21031",,Gathering data requirements from stakeholders.Evaluating data collection for accuracy.Familiar with the modern cloud data platforms (Azure preferred but AWS…
444,newData Scientist,Ariel Investments,"Chicago, IL",,"Experience with data pipelines and APIs, applied knowledge in data automation and transportation tools.Proficiency developing data visualization tools such as…"
445,newAssociate Data Engineer,Ubisoft,"San Francisco, CA 94107 (Financial District/South Beach area)",,Implement and monitor data quality indicators across the data pipeline.Develop microservices to support our data operations.Paid time off to volunteer.
446,newR&D Data Science,Procter & Gamble,"Mason, OH 45040+11 locations",,"In this role you will leverage advanced machine learning methods including deep learning (DL) to solve important, company-wide R&D challenges."
447,New Graduate Roles,Lynk,"Falls Church, VA",,"New Graduate engineer positions are available to graduates who have completed a bachelor's or graduate-level degree in Aerospace, Mechanical, Electrical,…"
448,Data Analyst,State of New Mexico,"Santa Fe, NM 87505","$38,101 - $66,296 a year",The key responsibilities of this position is to serve the data needs of the BHS Division by collection and interpreting data from various data sets; analyzing…
449,"newAdministrative Assistant I, Hulu SVOD Content Partnerships",Hulu,"Santa Monica, CA 90404",,"As well as assist with preparing PowerPoint/Google Slides presentations, collecting viewership data and information about studio and network partners, and…"
450,newData Engineer,Hitachi Solutions,"Chicago, IL 60606 (The Loop area)+1 location",,Distributed Data Processing of big data batch or streaming pipelines.Construction of data science and machine learning research and production pipelines.
451,newResearch Data Analyst,University of California San Francisco,"Remote in San Francisco, CA+3 locations",,"Knowledge of and experience with statistical data analysis programs such as STATA, MS Excel, and/or R for quantitative data and as well as the data management…"
452,Data Scientist (Flexible work location),The Nature Conservancy,"Minneapolis, MN 55415 (Downtown East area)",,"Experience in accessing data through API code interfaces.Acquisition, processing, quality control, and management of spatial and tabular data, coordinating…"
453,newData Analyst,Purdue University,"Hybrid remote in West Lafayette, IN",,"Two years of work experience in reporting, assessment, data extraction, and data analysis.Must maintain confidentiality with sensitive data."
454,newRLDP Data Analytics Associate,Republic Airways,"Indianapolis, IN 46268",,Ability to work in various departments.Professional development workshops and educational stipend.Successful completion of Republic Internship Program.
455,Senior Data Scientist (remote),Liberty Mutual Insurance,Remote,"$129,500 - $184,100 a year","You will leverage primary data, advanced quantitative modeling and financial analysis to develop predictive models and analytical tools that enable data-driven…"
456,DATA SPECIALIST,University of Washington,"Remote in Seattle, WA+2 locations",,Agility with detailed information and data.The Data Specialist is expected to become specialized in data pertaining to the content area and will consult with…
457,DATA ENTRY OPERATOR- TAXATION (SEASONAL),State of Rhode Island,"Providence, RI 02908 (Smith Hill area)",$12.50 an hour,Performs data entry functions for the processing of income tax refunds/payments during tax season; verifies the accuracy of processed data; performs clerical…
458,newData Wrangler - Combine Automation PV&V,John Deere,"Silvis, IL 61282",,Understanding of CAN bus data structure and analysis.Ensure high quality data is available for analytics.Analyze data to help verify customer value in combine…
459,CONTRACTOR - Clinical Data Scientist,Mercury Healthcare,"Remote in Madison, WI",$150 - $200 an hour,"In this role you will use data tools to gather, analyze, and interpret Emergency Medical Record data to help expand use cases and increase the value of data."
460,newTemporary Data Analyst,Drexel University,"Remote in Philadelphia, PA+3 locations",,"Assist in the management of all R-related data infrastructures across multiple data sources, including Qualtrics, project data repositories, github, SPSS, ORA."
461,newData Scientist,RADcube,"Indianapolis, IN",,The ideal candidate for this position will possess ability to perform both independent and team-based research and generate insights from large data sets with a…
462,Imaging Data Scientist (contract),Pfizer,+6 locationsRemote,,"Experience with medical/clinical image formats (e.g., DICOM, NIfTI) and data analysis techniques.Support the development and deployment of Machine Learning…"
463,newSay Data Analyst (Remote Work Options),Shelter Insurance,"Remote in Columbia, MO+1 location",,"Develop and maintains data sets, visualizations and self-governance processes to assist business users with data insights.Data Analyst (Remote Work Options)."
464,Data Analyst,UCLA,"Los Angeles, CA+3 locations",,"Mastery of data analysis and data management in SQL, Stata, SAS, Python, or R.Ability to work discreetly with sensitive and confidential data."
465,newData Scientist,RADcube,"Indianapolis, IN",,The ideal candidate for this position will possess ability to perform both independent and team-based research and generate insights from large data sets with a…
466,Imaging Data Scientist (contract),Pfizer,+6 locationsRemote,,"Experience with medical/clinical image formats (e.g., DICOM, NIfTI) and data analysis techniques.Support the development and deployment of Machine Learning…"
467,newSay Data Analyst (Remote Work Options),Shelter Insurance,"Remote in Columbia, MO+1 location",,"Develop and maintains data sets, visualizations and self-governance processes to assist business users with data insights.Data Analyst (Remote Work Options)."
468,Data Analyst,UCLA,"Los Angeles, CA+3 locations",,"Mastery of data analysis and data management in SQL, Stata, SAS, Python, or R.Ability to work discreetly with sensitive and confidential data."
469,newData Analytics Specialist [HYBRID],Southern California Edison,"Pomona, CA 91767",,"Support Senior Data Analysts and Distribution Regional Management with data sources, data extraction methods, and data interpretation."
470,Data Scientist- Supply Chain - Remote,Nordstrom Inc,"Remote in Seattle, WA+7 locations",,Work closely with data engineering partners to leverage and improve our machine learning infrastructure.1+ year of relevant hands-on data science experience in…
471,"newEngineering Manager, Data Engineering",Etsy,"Remote in Brooklyn, NY+1 location",,You are passionate about democratizing data and lowering the barrier to entry to the big data ecosystem for all internal customers while maintaining privacy and…
472,DATA SCIENCE CONSULTANT BOSTON,managementsolutions,"Boston, MA 02110 (Downtown area)+4 locations",,"You will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models …"
473,newData Processor,Hillsborough County Public Schools,"Tampa, FL 33602 (Downtown area)",,Step and Grade Schedule: NI-ESP.
474,Data Analyst,NCIRE,"San Francisco, CA 94121 (Outer Richmond area)",,"Obtain, query, and manage large databases through appropriate data request workflows and computing environments."
475,newData Entry Specialist,YoungWilliams PC,"Topeka, KS 66603",,Process data entry functions accurately and quickly.This position will perform data corrections as needed.Locate data that has been keyed into image system.
476,Data Entry Clerk,L B & B ASSOCIATES INC,"Raleigh, NC 27610 (Southeast area)",,"Company offers mandatory life Insurance, short / long-term disability insurance, and optional medical, dental and vision insurance."
477,Data Analyst,Chainlink Labs,+1 locationRemote,,"Knowledge of business intelligence systems and data structures (pivoted data, data relationships, primary keys etc..) is crucial as this will be a BI & data…"
478,IT Services Data Entry Specialist Part Time,USLI,"Temporarily Remote in Wayne, PA",,"Enter customer and community member data into database system using tools provided.Troubleshoot data entry issues, provide appropriate solutions or redirect to…"
479,newAssociate Data Analytics Analyst,Smithfield Foods,"Remote in Suffolk, VA+5 locations",,"In addition, this position will assist in maintaining data pipelines required for reporting.The Associate Data Analyst will support the Finance Data Analytics…"
480,newData Specialist,Keter Environmental Services,"Hybrid remote in Indianapolis, IN+1 location",,Perform routine data audits to ensure system data is accurate and reliable.Maintain complex data points in system to ensure accuracy including financial and…
481,newSay Data Analyst (Remote Work Options),Shelter Insurance,"Remote in Columbia, MO+1 location",,"Develop and maintains data sets, visualizations and self-governance processes to assist business users with data insights.Data Analyst (Remote Work Options)."
